text,hashtags,created_at,reference_type,lang,users.username,users.following,users.tweets,users.location,users.verified,metrics.retweets,metrics.replies,metrics.quotes,metrics.impressions,entities.mentions,entities.url title,places.name,places.place_type,places.country,places.country_code
banding ukt turun gaji khawatir lanjut kuliah banding ukt semester genap ajar thread,"['kabinetagnibrata', 'wujudkanasa']",2022-01-01 14:03:02,,in,himitpens,156.0,4960.0,Surabaya,False,0,1,0,0,[],[],,,,
dd biaya nikah bawah sakit asuransi celaka ortu sakit kena lain,['danadarurat'],2022-01-02 09:08:39,,in,bregaswaras_id,16.0,15287.0,,False,0,0,0,0,[],[],,,,
kisruh lebur eijkman dpr brin ilmuwan,"['sindonews', 'bukanberitabiasa']",2022-01-03 01:54:58,,in,SINDOnews,181.0,1061387.0,"Jakarta Pusat, DKI Jakarta",False,0,1,0,0,[],[],,,,
karyawan transmusi palembang bus rapid transmisi henti baca,"['transmusi', 'phk', 'palembang']",2022-01-04 03:40:55,,in,id_infosumsel,76.0,3084.0,"Sumatera Selatan, Indonesia",False,0,0,0,0,[],[],,,,
harga barang mahal akibat banyak lonjak inflasi,['beritaterkini'],2022-01-05 03:03:58,['retweeted'],in,fenstayo,303.0,18461.0,Botinista,False,1,0,0,0,['fies_umy'],[],,,,
duga dasar kuat salah berita tangsel,['news'],2022-01-05 05:47:23,,in,infopamulang_,525.0,201016.0,"Pamulang, Indonesia",False,0,0,0,0,[],[],,,,
naik harga bahan pokok picu instabilitas ekonomi indonesia ekonom perintah salur bansos sasar pandemi,"['analisis', 'cnnindonesia']",2022-01-05 11:00:00,,in,CNNIndonesia,13.0,733967.0,,False,6,0,1,0,[],[],,,,
epolsosbud indonesia baik bebas pandemi panjang sedia lapang kerja korban,['blibliajadeh'],2022-01-06 05:21:40,['replied_to'],in,djiwa_koe,212.0,1968.0,Jawa Barat,False,0,0,0,0,['bliblidotcom'],[],,,,
karyawan tolak vaksinasi covid diphk,['top100klinik2021'],2022-01-06 06:20:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,3,0,0,0,[],[],,,,
moga pandemi virus corona hidup normal waspada berlebihagar buka lapang kerja luas lgmengingat karyawan pandemi,['blibliajadeh'],2022-01-06 15:08:31,['replied_to'],in,efvalentine14,336.0,318.0,,False,0,0,0,0,['bliblidotcom'],[],"Nganjuk, Indonesia",city,Indonesia,ID
