text,hashtags,created_at,reference_type,lang,users.username,users.following,users.tweets,users.location,users.verified,metrics.retweets,metrics.replies,metrics.quotes,metrics.impressions,entities.mentions,entities.url title,places.name,places.place_type,places.country,places.country_code
banding ukt turunnya gaji khawatir melanjutkan perkuliahan banding ukt semester genap ajaran thread,"['kabinetagnibrata', 'wujudkanasa']",2022-01-01 14:03:02,,in,himitpens,156.0,4960.0,Surabaya,False,0,1,0,0,[],[],,,,
dd biaya pernikahan dibawah sakit asuransi kecelakaan ortu sakit kena lain-lain,['danadarurat'],2022-01-02 09:08:39,,in,bregaswaras_id,16.0,15287.0,,False,0,0,0,0,[],[],,,,
kisruh peleburan eijkman dpr brin ilmuwan,"['sindonews', 'bukanberitabiasa']",2022-01-03 01:54:58,,in,SINDOnews,181.0,1061387.0,"Jakarta Pusat, DKI Jakarta",False,0,1,0,0,[],[],,,,
karyawan transmusi palembang bus rapid transmisi dihentikan baca,"['transmusi', 'phk', 'palembang']",2022-01-04 03:40:55,,in,id_infosumsel,76.0,3084.0,"Sumatera Selatan, Indonesia",False,0,0,0,0,[],[],,,,
harga barang mahal mengakibatkan banyaknya lonjakan inflasi,['beritaterkini'],2022-01-05 03:03:58,['retweeted'],in,fenstayo,303.0,18461.0,Botinista,False,1,0,0,0,['fies_umy'],[],,,,
diduga dasar kuat salah berita tangsel,['news'],2022-01-05 05:47:23,,in,infopamulang_,525.0,201016.0,"Pamulang, Indonesia",False,0,0,0,0,[],[],,,,
kenaikan harga bahan pokok memicu instabilitas ekonomi indonesia ekonom pemerintah penyaluran bansos sasaran pandemi,"['analisis', 'cnnindonesia']",2022-01-05 11:00:00,,in,CNNIndonesia,13.0,733967.0,,False,6,0,1,0,[],[],,,,
epolsosbud indonesia membaik terbebas pandemi berkepanjangan tersedianya lapangan pekerjaan korban,['blibliajadeh'],2022-01-06 05:21:40,['replied_to'],in,djiwa_koe,212.0,1968.0,Jawa Barat,False,0,0,0,0,['bliblidotcom'],[],,,,
karyawan menolak vaksinasi covid diphk,['top100klinik2021'],2022-01-06 06:20:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,3,0,0,0,[],[],,,,
semoga pandemi virus corona hidup normal kewaspadaan berlebihagar dibuka lapangan pekerjaan luas lgmengingat karyawan pandemi,['blibliajadeh'],2022-01-06 15:08:31,['replied_to'],in,efvalentine14,336.0,318.0,,False,0,0,0,0,['bliblidotcom'],[],"Nganjuk, Indonesia",city,Indonesia,ID
honorer lembaga riset kena kepala brin tegaskan sesuai aturan,['temponasional'],2022-01-06 22:49:32,,in,tempodotco,28.0,1163490.0,Indonesia,False,2,3,0,0,[],[],,,,
uang direncanakan usaha berinvestasi proyek hotel haji umrah besutan jaman nurchotib mansur alias ustaz yusuf mansur kawan-kawan,['jernihkanharapan'],2022-01-07 03:50:00,,in,kompascom,30.0,2312481.0,Jakarta,False,3,0,0,0,[],[],,,,
hak pekerja diphk akibat memasuki usia pensiun,['top100klinik2021'],2022-01-07 05:01:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
duh separo penduduk surabaya masuk kategori masyarakat berpenghasilan rendah,"['penduduksurabaya', 'phk', 'surabaya', 'updatesurabaya']",2022-01-07 09:12:24,,in,lensaindonesia,30.0,72011.0,Indonesia,False,0,0,0,0,[],[],,,,
top dunia jokowi telepon hun sen as cemaskan cina karyawan sineplex,['tempodunia'],2022-01-07 23:44:04,,in,tempodotco,28.0,1163490.0,Indonesia,False,0,0,0,0,[],[],,,,
diphk kesalahan berat hukumnya,['top100klinik2021'],2022-01-08 05:01:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
fixes merendahkan harkat martabat bangsa indonesia lkkn pemanggilan ybs cuitannya berbau sara,['tangkapfahmiherbal'],2022-01-08 13:49:05,['replied_to'],in,Bremboh2,768.0,940.0,Cianjur,False,5,0,0,0,"['13_trio', 'dennysiregar7', 'fahmiherbal', 'divhumas_polri']",[],,,,
mohon,['tangkapfahmiherbal'],2022-01-08 16:33:20,['replied_to'],in,godham5,11917.0,39130.0,"Bandung, Jawa Barat",False,0,0,0,0,"['dhab_hunter', 'anjasmara_ferry', 'listyosigitp', 'divhumas_polri', 'listyosigitp', 'yanmas_reskrim', 'ccicpolri', 'bssn_ri']",[],,,,
bukti elektronik perbuatan alat bukti,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:40:09,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['firzahusainid', 'fahmiherbal', 'divhumas_polri', 'listyosigitp', 'yanmas_reskrim']",[],,,,
semoga gercep,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:41:40,['replied_to'],in,jabbar2159,723.0,900.0,,False,1,0,0,0,"['belok_dong', 'divhumas_polri', 'divhumas_polri', 'yanmas_reskrim']",[],,,,
menjaga harkat martabat bangsa,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:43:54,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['nyaiibubu', 'divhumas_polri', 'yanmas_reskrim']",[],,,,
lilik herlina warga boyolali jawa korban dugaan wanprestasi yusuf mansur menceritakan menghabiskan uangnya dana miliknya rp juta investasi,"['videokompas', 'jernihkanharapan']",2022-01-09 01:51:18,,in,kompascom,30.0,2312481.0,Jakarta,False,1,0,0,0,[],[],,,,
hak karyawan diphk perusahaan pelit,['top100klinik2021'],2022-01-09 03:00:02,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
aice buruh,['indonesiaboikotaice'],2022-01-09 05:10:44,,in,ANurhadi5,48.0,124.0,,False,0,0,1,0,[],[],,,,
buruh,['indonesiaboikotaice'],2022-01-09 05:14:13,,in,adilah_yayah,243.0,947.0,,False,0,0,1,0,[],[],,,,
indonesia butuh es krim aice mempekerjakan buruh hamil malam mem buruhnya,['indonesiaboikotaice'],2022-01-09 05:18:38,,in,fajarjunianto20,694.0,6003.0,,False,2,0,2,0,[],[],,,,
sekedar perlawanan buruh aice krim aice pudar melawan,['indonesiaboikotaice'],2022-01-09 05:24:54,,in,MuhamadKhusnan3,62.0,486.0,,False,1,0,1,0,[],[],,,,
hak buruhnya penuhi beli es krim aice buruhnya tutup mata keguguran alpen food industry aice duga buruh hamil pekerjakan malam,"['boikoteskrimaice', 'indonesiaboikotaice']",2022-01-09 05:25:04,['quoted'],in,NtunNurhidayat1,0.0,4.0,,False,0,0,0,0,[],[],,,,
pekerjakan buruh alpen food industry,['indonesiaboikotaice'],2022-01-09 06:27:39,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
perbaiki pekerjakan buruhnya,['indonesiaboikotaice'],2022-01-09 06:52:42,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
buruh hamil,['indonesiaboikotaice'],2022-01-09 06:53:24,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
password duit liburan negeri kena psbb kena kehilangan penghasilan kerja harian wajib menjalankan protokol kesehatan indah indonesia ku,['indonesia'],2022-01-09 12:43:23,,in,AK47official9,9.0,12.0,,False,0,0,0,0,[],[],,,,
buruh alpen food industri sepihat perusahaan mundur sedikitpun perjuangan menegakakkan keadilan alpen food industri memproduksi ice cream aice patuh hukum indonesia,['indonesiaboikotaice'],2022-01-09 14:01:44,,in,Suprisp3,27.0,32.0,,False,0,0,0,0,[],[],,,,
terhormat kapolri memenuhi keadilan anak bangsa cinta nkri tlhrendahkan harkat martabat bangsa indonesia,['tangkapfahmiherbal'],2022-01-09 15:56:06,['replied_to'],in,Bremboh2,768.0,940.0,Cianjur,False,0,0,0,0,"['chusnulch__', 'fahmiherbal', 'ccicpolri', 'listyosigitp', 'listyosigitp', 'divhumas_polri', 'divhumas_polri']",[],,,,
fiqi mencoba bangkit berjualan ikan hias pinggir jalan bersyukur penerima bantuan program kua percontohan ekonomi umat video,['gerakancintazakat'],2022-01-09 17:09:38,,in,ZakatWakafToday,10.0,3601.0,Indonesia,False,0,0,0,0,[],[],,,,
nuwun sewukyai oknum turunan sperti layak diam nkri sllbuat hoax danprovokasi umatkyai,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-09 17:19:56,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['hmfaqiha', 'adi16343002', 'fahmiherbal', 'divhumas_polri', 'listyosigitp']",[],,,,
merendahkan harkat martabat bangsa spertinya,['tangkapfahmiherbal'],2022-01-09 17:29:23,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['henrysubiakto', 'fahmiherbal', 'divhumas_polri']",[],,,,
selayaknya ybs kegaduhan sadar disengaja,['tangkapfahmiherbal'],2022-01-09 17:50:47,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['santorinissun', 'divhumas_polri', 'listyosigitp']",[],,,,
hak pekerja terkena mengundurkan,['top100klinik2021'],2022-01-10 06:40:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
ingainga maaf kekhilafannya teriak proses hukum berjalan mk keadilan ygpihak masyarakat lkkn,['tangkapfahmiherbal'],2022-01-10 10:06:23,['replied_to'],in,PutraAn26054635,2586.0,3123.0,"Kota Bandung, Jawa Barat",False,0,0,0,0,"['billray2019', 'basuki_btp', 'divhumas_polri', 'listyosigitp']",[],,,,
setuju ketegasan cq menindak pembuat kegaduhan nkri,['tangkapfahmiherbal'],2022-01-10 10:16:46,,in,PutraAn26054635,2586.0,3123.0,"Kota Bandung, Jawa Barat",False,0,0,0,0,"['dr_moeldoko', 'kspgoid', 'kepolisian_ri', 'listyosigitp']",[],,,,
bantu butuh pekerjaan biaya berobat anak suami sakit kolesterol jualan singkong thailand laku,['pecahtelursnack'],2022-01-10 15:38:04,,in,yulianto_zafran,38.0,26.0,"Depok, Indonesia",False,0,0,0,0,[],[],,,,
skema pesangon ref vonis draft motori goal catat rumus perhitungan pesangon karyawan,['mk'],2022-01-10 18:24:04,,in,PelancongTua,1351.0,19119.0,somewhere in G earth,False,0,0,0,0,"['officialmkri', 'mahkamahagung', 'komisiyudisial', 'kadin_indonesia', 'airlangga_hrt', 'dpr_ri']",[],,,,
